GENEID	gene	e14.5	e17.5	p0	p3	p7	p10	p14	p21
ENSMUSG00000027298	Tyro3	2357.92	1777.7	1734.5	1136.29	1045.46	884.55	1235.02	1382.11
ENSMUSG00000027300	Ubox5	1021.5	937.57	898.09	718.36	724.94	626.45	615.44	572.1
ENSMUSG00000027303	Ptpra	5243.94	6772.7	5981.13	6745.19	7305.98	6763.76	6615.35	6086.74
ENSMUSG00000027304	Rtf1	4296.95	3857.12	4259.27	4045.35	3748.73	3572.76	2436.79	2621.5
ENSMUSG00000027305	Ndufaf1	865.8	925.45	1016.77	981.48	1029.46	1096.46	1038.37	992.22
ENSMUSG00000027306	Nusap1	3123.42	3400.19	4060.64	318.03	336.46	171.67	120.59	150.79
ENSMUSG00000027309	4930402H24Rik	600.76	552.38	296.92	531.84	564.71	384.93	486.75	561.3
ENSMUSG00000027312	Atrn	3391.13	3812.79	3475.37	5942.68	5647.62	5817.68	7251.28	7947.26
ENSMUSG00000027313	Chac1	208.73	365.74	735.13	176.42	172.43	104.22	125.62	169.01
ENSMUSG00000027314	Dll4	1686.05	2459.92	1781.72	285.5	399.45	228.55	203.52	140.13
ENSMUSG00000027316	Gfra4	34.43	152.84	161.3	366.51	282.59	602.79	754.51	911.73
ENSMUSG00000027318	Adam33	10.87	3.06	1.09	2.1	2.35	1.19	3.77	2.93
ENSMUSG00000027322	Siglec1	50.63	12.43	5.48	7.13	9.03	7.1	7.99	27.5
ENSMUSG00000027323	Rad51	949.62	1506.14	861.88	91.64	206.06	105.39	214.36	158.73
ENSMUSG00000027324	Rpusd2	651.74	382.91	495.78	492.6	345.65	465.37	300.5	265.54
ENSMUSG00000027326	Knl1	5371.77	5860.19	7318.15	813.34	839.15	412.06	160.46	132.75
ENSMUSG00000027327	1700037H04Rik	1518.42	955.19	759.35	420.74	409.42	318.56	383.37	421.01
ENSMUSG00000027329	Spef1	765.43	1399.27	1385.55	845.27	946.09	804.08	652.87	553.35
ENSMUSG00000027330	Cdc25b	3162.17	3355.34	4051.0	669.57	777.3	341.05	167.73	153.63
ENSMUSG00000027331	Knstrn	2969.88	3377.22	4205.08	256.25	378.91	161.09	101.77	138.17
ENSMUSG00000027332	Ivd	2521.05	2134.32	2117.33	2072.07	2158.05	2136.27	1809.67	1707.33
ENSMUSG00000027333	Smox	748.15	906.62	1023.27	522.32	698.88	614.57	592.85	528.16
ENSMUSG00000027335	Adra1d	69.66	202.45	113.62	64.4	63.67	114.86	166.6	180.84
ENSMUSG00000027338	Prnd	161.45	9.54	13.41	147.58	166.88	357.66	231.05	27.47
ENSMUSG00000027339	Rassf2	2000.19	2062.51	1910.87	397.52	455.23	327.97	257.6	257.27
ENSMUSG00000027340	Slc23a2	5.1	28.21	13.98	41.41	33.95	35.52	39.08	46.21
ENSMUSG00000027341	Tmem230	1198.46	1344.9	1609.47	3164.14	2603.9	4134.03	3520.73	2567.08
ENSMUSG00000027342	Pcna	24330.61	23850.15	26928.86	5299.18	5509.86	5802.73	4845.76	4577.04
ENSMUSG00000027344	Fsip1	45.25	44.29	45.71	13.61	14.56	22.5	18.14	10.48
ENSMUSG00000027346	Gpcpd1	677.93	854.42	1730.78	1538.76	1493.87	1682.12	1716.89	1294.43
ENSMUSG00000027347	Rasgrp1	22.26	88.04	91.54	468.75	413.21	595.68	1066.08	1055.05
ENSMUSG00000027349	Fam98b	717.16	841.64	1145.55	755.79	842.2	722.32	686.03	575.13
ENSMUSG00000027350	Chgb	2328.9	6778.08	7604.9	18684.87	19357.9	17832.07	22023.15	26343.7
ENSMUSG00000027351	Spred1	90.84	70.9	78.76	22.52	28.55	7.1	19.48	29.05
ENSMUSG00000027353	Mcm8	176.47	198.37	111.96	81.89	91.05	125.54	117.73	123.17
ENSMUSG00000027357	Crls1	367.92	367.35	204.2	198.51	296.8	329.16	211.04	200.27
ENSMUSG00000027358	Bmp2	77.92	34.11	38.43	45.2	41.66	52.11	57.87	210.42
ENSMUSG00000027359	Slc27a2	11.61	55.16	77.77	290.98	299.59	97.13	11.81	5.77
ENSMUSG00000027360	Hdc	39.24	14.58	13.07	12.39	9.62	9.47	44.26	217.52
ENSMUSG00000027361	Gabpb1	2407.1	2484.42	2427.65	1818.47	1796.65	1479.0	1443.49	1501.87
ENSMUSG00000027363	Usp8	96.95	83.18	116.92	85.05	47.72	54.5	86.32	97.57
ENSMUSG00000027364	Usp50	27.41	33.56	28.39	29.49	42.17	23.69	32.73	27.78
ENSMUSG00000027365	Trpm7	4215.05	3808.86	5019.73	3519.27	3469.76	3388.73	3751.51	3774.45
ENSMUSG00000027366	Sppl2a	173.34	200.31	191.04	119.57	111.41	58.01	82.84	68.12
ENSMUSG00000027367	Stard7	9292.03	8774.57	10239.65	8762.38	8897.12	10189.93	12478.46	13145.18
ENSMUSG00000027368	Dusp2	12.57	3.9	15.21	38.56	45.16	45.01	39.14	14.38
ENSMUSG00000027371	Fahd2a	449.98	554.71	521.72	898.65	847.19	1181.85	1086.61	1093.75
ENSMUSG00000027374	Mrps5	1198.8	1058.43	1199.42	1050.42	1035.06	1066.97	673.48	491.37
ENSMUSG00000027376	Prom2	1.47	0.6	0.56	9.24	0.58	1.19	6.66	14.41
ENSMUSG00000027378	Nphp1	985.31	874.05	1088.82	837.03	918.04	1068.29	930.84	807.68
ENSMUSG00000027379	Bub1	5499.4	4783.98	5175.44	333.54	416.72	175.31	52.08	20.31
ENSMUSG00000027380	Acoxl	4.25	6.48	2.18	23.9	32.2	18.96	132.12	90.51
ENSMUSG00000027381	Bcl2l11	1868.6	1378.34	1533.37	1182.21	1121.63	832.41	679.38	621.41
ENSMUSG00000027384	Ndufaf5	749.84	732.55	840.55	1019.48	989.88	1553.71	1970.74	2074.81
ENSMUSG00000027386	Fbln7	172.16	156.27	118.64	113.49	104.01	125.52	127.07	164.53
ENSMUSG00000027387	Zc3h8	172.22	193.38	247.85	209.88	190.25	169.38	162.56	209.54
ENSMUSG00000027394	Ttl	55.73	28.38	32.78	18.31	17.05	17.76	11.17	12.82
ENSMUSG00000027395	Polr1b	101.66	79.4	58.98	64.1	47.79	45.0	41.36	42.61
ENSMUSG00000027397	Slc20a1	4003.99	3601.02	4165.54	4715.85	4431.99	4374.55	4984.8	6198.83
ENSMUSG00000027399	Il1a	19.76	15.49	26.03	24.79	31.03	29.61	22.26	26.87
ENSMUSG00000027400	Pdyn	3.23	2.82	4.39	1.22	5.63	1.18	12.45	12.11
ENSMUSG00000027401	Tgm3	16.42	16.45	9.73	17.75	9.25	8.29	27.59	38.92
ENSMUSG00000027403	Tgm6	0.74	1.38	3.3	2.43	1.99	2.37	3.51	4.85
ENSMUSG00000027404	Snrpb	15087.14	15021.59	14392.36	10284.11	10942.97	10558.35	9184.13	8631.51
ENSMUSG00000027405	Nop56	649.88	452.82	541.74	194.49	156.87	183.56	185.59	217.16
ENSMUSG00000027406	Idh3b	265.41	229.96	240.72	649.15	788.4	725.66	853.51	720.43
ENSMUSG00000027408	Cpxm1	371.66	243.23	206.16	245.77	264.4	348.13	558.48	486.66
ENSMUSG00000027411	Vps16	454.53	580.14	512.66	279.07	315.41	338.63	339.33	349.25
ENSMUSG00000027412	Lpin3	11.22	2.41	4.21	2.1	5.25	17.74	4.78	12.75
ENSMUSG00000027416	Otor	4.25	1.2	0.56	667.38	535.77	883.51	508.17	381.12
ENSMUSG00000027419	Pcsk2	1111.71	903.43	775.78	2364.69	2294.62	3548.81	5682.57	5012.43
ENSMUSG00000027420	Bfsp1	55.09	39.38	41.53	14.73	30.16	9.49	10.5	25.95
ENSMUSG00000027422	Rrbp1	231.0	198.12	192.29	208.08	218.75	282.96	215.35	225.21
ENSMUSG00000027423	Snx5	5634.07	4536.86	5120.23	3813.37	3956.3	4450.23	4221.32	4322.72
ENSMUSG00000027424	Mgme1	977.19	1038.23	1000.03	447.87	528.09	401.43	399.7	526.66
ENSMUSG00000027425	Kat14	104.98	118.66	73.34	83.3	92.16	18.95	57.94	59.67
ENSMUSG00000027427	Polr3f	3096.48	2996.89	3801.29	2954.26	2872.84	3039.83	3012.46	2792.88
ENSMUSG00000027428	Rbbp9	1927.26	2058.34	2527.03	1872.07	2001.78	1906.59	2214.15	2246.13
ENSMUSG00000027429	Sec23b	716.42	726.8	1354.52	814.09	699.39	759.24	705.32	775.02
ENSMUSG00000027430	Dtd1	966.14	1288.71	1358.95	1647.62	1537.9	1910.01	2385.04	2361.21
ENSMUSG00000027433	Xrn2	11224.27	10743.15	12538.76	9643.56	8828.88	9009.31	6373.19	5544.23
ENSMUSG00000027435	Cd93	991.07	116.5	276.35	3121.34	2678.15	6061.93	4850.03	2021.33
ENSMUSG00000027438	Napb	51.36	123.63	74.13	45.2	83.11	111.19	100.97	110.22
ENSMUSG00000027439	Gzf1	3895.99	4609.19	4322.38	3406.66	3754.5	3239.97	3127.04	3131.87
ENSMUSG00000027447	Cst3	5465.71	7443.7	7291.04	26506.01	26224.72	32292.83	40043.83	45325.74
ENSMUSG00000027452	Acss1	233.93	227.77	317.19	82.78	89.72	87.62	32.49	28.79
ENSMUSG00000027454	Gins1	2134.39	1916.36	2032.85	254.12	260.79	137.37	39.79	39.31
ENSMUSG00000027455	Nsfl1c	255.1	139.35	136.33	47.4	77.15	36.7	41.44	54.22
ENSMUSG00000027456	Sdcbp2	12.46	15.12	16.26	20.41	20.22	28.41	40.02	50.52
ENSMUSG00000027457	Snph	91.68	189.38	164.64	180.58	346.52	435.74	846.16	1109.37
ENSMUSG00000027459	Fam110a	2176.8	1905.52	1465.61	1787.95	2408.24	1342.87	778.74	711.43
ENSMUSG00000027460	Angpt4	1.76	5.64	3.87	81.82	124.11	220.24	164.28	93.32
ENSMUSG00000027465	Tbc1d20	23.79	28.31	19.7	42.28	19.75	18.94	31.3	28.02
ENSMUSG00000027466	Rbck1	2356.75	2543.87	2686.3	2507.03	2481.25	2819.49	2511.5	2364.54
ENSMUSG00000027469	Tpx2	14754.26	13503.25	12988.07	933.89	1138.31	421.62	149.7	124.47
ENSMUSG00000027472	Pdrg1	1691.87	2036.34	2108.22	1928.7	2252.28	2091.3	1926.81	1952.26
ENSMUSG00000027474	Ccm2l	54.71	41.91	21.86	23.9	26.16	69.88	55.43	40.35
ENSMUSG00000027475	Kif3b	2363.61	2909.34	3543.2	5102.25	5237.22	6055.63	7003.58	6976.22
ENSMUSG00000027478	Dnmt3b	1776.59	551.75	754.88	147.44	131.47	101.82	65.06	85.3
ENSMUSG00000027479	Mapre1	16746.98	16406.4	16504.47	14676.62	13643.13	11665.75	7919.08	5733.96
ENSMUSG00000027487	Cdk5rap1	433.89	611.79	672.27	479.32	843.78	666.77	452.12	1176.61
ENSMUSG00000027488	Snta1	271.03	381.66	561.96	2380.99	2389.82	3752.62	3760.74	3070.1
ENSMUSG00000027489	Necab3	12.01	13.69	8.68	6.08	8.39	10.65	5.43	7.71
ENSMUSG00000027490	E2f1	1198.1	1169.9	1878.7	314.34	260.36	71.04	44.82	31.26
ENSMUSG00000027495	Fam210b	459.1	411.39	549.67	1031.55	1133.21	1156.89	1082.17	929.9
ENSMUSG00000027496	Aurka	3550.39	2902.32	2253.7	252.65	309.49	196.55	136.81	121.75
ENSMUSG00000027498	Cstf1	3300.05	2845.12	2636.04	2413.28	2258.51	2247.57	1915.99	1734.48
ENSMUSG00000027499	Pkia	15.35	20.66	22.53	33.86	42.15	91.18	46.05	51.01
ENSMUSG00000027500	Stmn2	13757.6	13360.59	9360.11	5813.84	7360.02	6591.28	6557.08	4535.98
ENSMUSG00000027502	Rtf2	4173.28	4478.3	5005.65	4950.1	4788.49	4992.31	4242.07	4404.87
ENSMUSG00000027505	Fam209	4.53	3.0	2.21	2.43	3.29	1.18	1.41	1.96
ENSMUSG00000027506	Tpd52	458.13	659.86	620.45	619.18	660.91	618.09	554.27	567.81
ENSMUSG00000027508	Pag1	3105.77	3691.91	3142.07	2231.18	2318.43	1615.05	1621.17	1379.05
ENSMUSG00000027509	Rae1	3043.82	2645.02	3096.09	2801.93	2684.97	2544.79	2069.18	1855.46
ENSMUSG00000027510	Rbm38	83.29	51.97	32.0	30.05	22.39	4.74	4.09	5.68
ENSMUSG00000027513	Pck1	32.51	14.9	19.57	5.59	9.73	18.95	16.27	14.34
ENSMUSG00000027519	Rab22a	1625.43	1748.8	1892.37	2139.89	2168.25	1880.36	1849.34	1868.81
ENSMUSG00000027520	Zdbf2	2107.19	1715.88	1708.95	1348.38	1656.03	1014.89	1061.35	652.58
ENSMUSG00000027522	Stx16	1088.68	1336.06	1429.41	2166.31	2024.96	2086.39	1933.9	2180.23
ENSMUSG00000027523	Gnas	41497.31	43075.59	34454.07	33817.76	33831.25	34978.08	36833.57	39683.36
ENSMUSG00000027524	Edn3	50.4	10.33	10.47	1.22	3.75	2.37	4.79	53.93
ENSMUSG00000027525	Phactr3	1010.56	1227.42	958.43	1261.63	1290.38	1525.16	1661.05	1845.15
ENSMUSG00000027530	Fabp12	2.04	48.67	42.37	949.56	835.56	1740.84	2417.16	2686.06
ENSMUSG00000027531	Impa1	3142.93	3312.82	3367.24	4382.07	4391.04	4508.27	4705.15	5046.59
ENSMUSG00000027533	Fabp5	17302.3	13487.37	13084.97	8804.27	8594.3	6931.34	3759.57	2411.82
ENSMUSG00000027536	Chmp4c	78.55	47.41	52.97	57.36	46.09	65.15	49.56	90.9
ENSMUSG00000027540	Ptpn1	3890.65	3173.68	3425.78	3332.53	3066.73	2795.88	1768.43	1607.26
ENSMUSG00000027544	Nfatc2	27.07	13.99	14.58	32.9	75.08	71.04	116.47	160.82
ENSMUSG00000027546	Atp9a	4902.19	8133.9	7817.15	8105.47	8823.4	9041.58	9115.08	8930.03
ENSMUSG00000027550	Lrrcc1	2901.4	3001.71	4548.88	2662.14	2453.37	2666.74	2486.39	2502.18
ENSMUSG00000027551	Zfp64	117.45	149.5	206.94	126.53	123.0	99.49	116.21	81.98
ENSMUSG00000027555	Car13	115.07	61.0	56.53	10.29	9.43	8.29	4.15	18.0
ENSMUSG00000027559	Car3	52.89	53.17	136.14	220.92	200.46	201.34	236.4	412.93
ENSMUSG00000027560	Dok5	475.86	422.34	336.47	530.13	417.54	603.93	564.04	560.1
ENSMUSG00000027562	Car2	878.16	7000.28	10917.84	16853.6	15983.48	25973.36	35823.52	35363.61
ENSMUSG00000027566	Psma7	8572.43	7847.56	8723.61	7191.27	7199.75	7924.86	6184.42	5525.71
ENSMUSG00000027568	Ntsr1	1.76	6.18	10.15	17.75	17.43	3.55	16.22	18.72
ENSMUSG00000027569	Mrgbp	1269.57	1242.16	2305.57	1675.63	1555.5	1548.89	1094.19	1067.58
ENSMUSG00000027570	Col9a3	234.34	3102.81	3211.31	2405.94	2283.75	2111.37	2041.54	1761.83
ENSMUSG00000027573	Gid8	1858.42	1727.33	1881.84	1906.72	1836.8	1828.37	1855.5	1958.3
ENSMUSG00000027574	Nkain4	872.16	1427.23	1458.33	624.58	721.42	403.82	160.67	94.47
ENSMUSG00000027575	Arfgap1	994.43	1023.65	1312.58	2116.36	1842.14	2145.8	1817.49	1740.23
ENSMUSG00000027577	Chrna4	34.88	11.65	6.46	1.22	6.72	4.74	5.04	5.55
ENSMUSG00000027580	Helz2	41.34	18.96	33.51	41.72	51.43	46.18	82.21	125.49
ENSMUSG00000027581	Stmn3	7748.86	9313.71	7994.22	9429.91	9791.35	12125.0	13803.83	12141.28
ENSMUSG00000027582	Zgpat	1068.44	1072.63	1716.91	1593.25	1888.66	1769.12	1530.99	1373.11
ENSMUSG00000027583	Zbtb46	217.23	322.82	309.83	268.34	322.26	207.21	128.23	136.83
ENSMUSG00000027584	Oprl1	1131.42	1497.33	1565.46	1291.8	1297.32	1183.05	1476.89	1326.77
ENSMUSG00000027589	Pcmtd2	274.4	390.08	591.95	1049.27	1249.14	1708.92	2159.93	3269.29
ENSMUSG00000027593	Raly	3588.82	3691.17	4175.81	3236.97	3176.26	3538.45	3479.06	3643.13
ENSMUSG00000027596	a	5.72	4.62	3.79	3.48	2.22	1.19	4.09	2.91
ENSMUSG00000027598	Itch	2013.98	2051.57	1051.07	2412.15	1566.04	2234.72	2056.21	2131.8
ENSMUSG00000027599	Armc1	3278.28	3398.38	3766.82	3413.58	3933.68	3604.67	4258.51	3895.76
ENSMUSG00000027601	Mtfr1	3856.62	3421.48	4168.43	8204.86	7989.01	9801.69	9594.94	8932.48
ENSMUSG00000027602	Map1lc3a	2276.89	3363.41	2781.22	5679.45	5936.5	6721.39	7371.47	6747.88
ENSMUSG00000027603	Ggt7	9.4	31.8	45.13	68.85	42.15	80.56	98.19	112.11
ENSMUSG00000027605	Acss2	59.81	73.27	89.2	87.58	80.72	72.22	82.7	80.38
ENSMUSG00000027610	Gss	128.45	104.27	114.32	101.42	94.37	76.93	132.46	148.45
ENSMUSG00000027612	Mmp24	2117.54	3202.77	2849.11	3793.82	3631.22	3554.82	2744.37	2261.83
ENSMUSG00000027613	Eif6	222.17	166.34	142.08	223.11	163.94	101.81	152.33	127.8
ENSMUSG00000027615	Hps3	275.07	377.04	434.42	319.77	438.88	530.64	756.83	990.82
ENSMUSG00000027618	Nfs1	41.85	39.2	50.25	27.94	33.53	20.13	25.86	22.36
ENSMUSG00000027620	Rbm39	20025.64	16737.49	30097.98	13850.94	13613.44	13704.85	9703.95	10665.98
ENSMUSG00000027624	Epb41l1	2654.85	2888.73	2145.87	3265.63	2816.19	3335.9	3368.25	5442.89
ENSMUSG00000027628	Aar2	2851.57	2880.62	2659.58	3641.17	3683.12	3906.7	4071.74	4093.16
ENSMUSG00000027630	Tbl1xr1	1883.09	2064.89	2134.52	2725.09	2348.58	2504.34	2678.16	2805.46
ENSMUSG00000027634	Ndrg3	40.55	58.97	56.69	123.36	157.57	242.76	322.7	247.48
ENSMUSG00000027635	Dsn1	1762.2	1966.33	2493.16	309.29	368.99	290.16	138.27	86.68
ENSMUSG00000027636	Sla2	5.55	5.64	9.24	9.4	14.07	10.66	30.13	18.04
ENSMUSG00000027637	Rab5if	3059.12	2604.22	2528.71	3008.49	2941.13	3694.77	3643.24	3411.39
ENSMUSG00000027639	Samhd1	825.44	753.06	707.22	379.51	525.75	502.07	582.68	785.59
ENSMUSG00000027641	Rbl1	4683.59	4581.84	4369.3	522.48	559.85	337.53	178.83	164.86
ENSMUSG00000027642	Rpn2	14195.22	14306.03	11029.05	12133.16	11984.22	12491.32	11487.82	11588.66
ENSMUSG00000027643	Ghrh	10.53	14.23	14.2	22.03	21.07	20.12	17.82	24.38
ENSMUSG00000027646	Src	2753.28	3603.04	3539.19	2859.31	2985.46	2237.16	1638.08	1344.51
ENSMUSG00000027649	Ctnnbl1	5076.03	5246.9	4822.9	4474.48	4571.26	3893.53	2878.39	2894.51
ENSMUSG00000027650	Tti1	28.6	52.99	54.08	67.84	42.14	70.98	43.73	48.62
ENSMUSG00000027651	Rprd1b	1995.75	2000.04	2261.89	2189.21	2022.46	2062.73	2330.55	2814.13
ENSMUSG00000027652	Ralgapb	3020.79	3389.17	2610.83	3805.49	4243.2	3706.48	4978.45	5330.12
ENSMUSG00000027654	Fam83d	1883.08	1651.68	1613.15	134.74	176.22	61.59	19.62	7.4
ENSMUSG00000027655	Dhx35	2087.8	1892.16	2301.87	1646.8	1668.43	1593.88	1200.96	1122.18
ENSMUSG00000027656	Ccn5	14.33	9.66	13.03	3.16	1.91	1.18	3.45	3.17
ENSMUSG00000027660	Skil	13435.11	14729.63	11442.4	9419.41	9031.96	6126.93	4974.57	4046.18
ENSMUSG00000027661	Slc2a10	78.88	27.0	54.28	40.6	25.72	13.03	15.07	21.79
ENSMUSG00000027663	Zmat3	76.96	40.93	224.7	23.17	28.91	34.35	84.74	199.52
ENSMUSG00000027665	Pik3ca	7371.29	9323.47	9934.79	9603.02	10554.43	10898.05	11855.97	13032.4
ENSMUSG00000027667	Zfp639	1192.74	1196.09	1455.24	1003.37	970.23	903.49	837.24	757.93
ENSMUSG00000027668	Mfn1	1259.92	1515.1	1042.86	1279.59	1533.42	1444.79	1230.97	1446.58
ENSMUSG00000027669	Gnb4	3127.76	2730.7	3066.41	1533.36	1619.66	1542.97	1312.06	842.19
ENSMUSG00000027670	Ocstamp	60.76	46.23	38.54	34.75	50.48	46.16	44.06	38.0
ENSMUSG00000027671	Actl6a	148.99	60.05	89.69	57.6	54.97	68.7	76.73	77.4
ENSMUSG00000027673	Ndufb5	4477.2	4968.23	5351.61	6197.72	6371.36	7613.53	6717.86	5916.26
ENSMUSG00000027674	Pex5l	380.32	428.61	728.78	4700.71	4970.58	9930.32	15850.67	16937.21
ENSMUSG00000027676	Ccdc39	474.06	764.72	1002.39	567.06	543.72	821.81	964.78	535.56
ENSMUSG00000027677	Ttc14	1750.57	1668.24	2105.63	1772.61	1781.65	1777.33	2024.55	1997.38
ENSMUSG00000027678	Ncoa3	2021.16	1809.86	1790.1	1365.06	1418.68	1071.65	1273.56	1340.62
ENSMUSG00000027679	Dnajc19	1345.11	1337.71	1932.73	1288.48	1271.27	1576.2	1215.69	836.72
ENSMUSG00000027680	Fxr1	7878.79	7488.73	7662.05	5656.81	5487.98	5254.05	5152.63	5390.86
ENSMUSG00000027684	Mecom	1468.57	91.19	69.92	159.51	148.01	278.29	277.93	325.24
ENSMUSG00000027692	Tnik	4493.94	8480.86	7536.39	6735.9	6841.71	5841.37	5968.15	6193.71
ENSMUSG00000027694	Gm8325	181.89	112.96	182.01	150.97	131.37	151.49	137.29	139.25
ENSMUSG00000027695	Pld1	91.28	76.21	47.61	97.05	57.21	101.85	105.78	90.76
ENSMUSG00000027699	Ect2	9820.04	10665.42	10354.45	801.79	945.34	438.2	240.4	156.66
ENSMUSG00000027702	Lrrc34	188.8	86.62	105.27	7.13	8.95	2.37	2.69	2.58
ENSMUSG00000027706	Sec62	6095.63	7598.03	9369.82	11948.34	11711.67	12787.68	12520.67	13640.17
ENSMUSG00000027708	Dcun1d1	3780.44	3650.17	4128.6	4295.66	4436.86	4292.43	4530.44	4091.79
ENSMUSG00000027709	Mccc1	436.23	564.16	387.66	337.56	496.56	330.38	368.04	411.61
ENSMUSG00000027710	Acad9	504.18	564.15	484.73	371.04	458.36	270.06	389.42	409.45
ENSMUSG00000027713	1810062G17Rik	13.03	6.9	19.11	11.01	5.6	8.29	6.07	5.66
ENSMUSG00000027714	Exosc9	94.74	58.6	115.85	39.12	57.71	45.0	40.94	37.0
ENSMUSG00000027715	Ccna2	19746.72	20459.66	22239.52	1275.79	1690.48	542.35	204.62	179.39
ENSMUSG00000027716	Trpc3	203.47	187.07	275.37	859.27	850.97	1197.25	1091.76	1052.43
ENSMUSG00000027720	Il2	2.21	2.94	3.87	5.92	6.09	7.11	11.04	6.43
ENSMUSG00000027722	Spata5	754.74	735.75	834.74	1175.45	1144.93	1148.4	1133.08	943.85
ENSMUSG00000027737	Slc7a11	652.34	520.17	462.34	267.07	162.26	193.01	414.78	1272.19
ENSMUSG00000027739	Rab33b	1394.48	1406.78	1521.44	1417.37	1312.33	1561.8	2065.55	2125.43
ENSMUSG00000027742	Cog6	2061.14	2519.38	3056.86	3680.95	3647.39	3574.98	3349.24	3388.99
ENSMUSG00000027744	Stoml3	9.8	3.84	3.87	7.86	3.63	3.56	8.04	14.1
ENSMUSG00000027746	Ufm1	3668.86	3791.33	4861.11	4449.38	4751.01	4721.24	4241.12	3786.89
ENSMUSG00000027748	Trpc4	30.52	17.84	30.53	212.64	186.38	201.36	273.53	275.08
ENSMUSG00000027750	Postn	386.85	13.6	15.7	264.18	251.75	474.82	359.44	223.03
ENSMUSG00000027751	Supt20	2070.11	1800.13	2043.87	1475.55	1677.24	1374.82	1213.07	1189.56
ENSMUSG00000027752	Exosc8	450.43	324.78	470.13	142.41	181.4	146.83	145.54	161.82
ENSMUSG00000027763	Mbnl1	2094.08	1871.11	2149.56	6905.8	6110.69	11565.87	14692.01	13798.7
ENSMUSG00000027765	P2ry1	193.77	325.9	236.76	219.86	195.15	226.18	672.09	867.04
ENSMUSG00000027770	Dhx36	10971.44	12343.03	13256.44	12643.55	11994.82	11735.39	11627.81	11202.6
ENSMUSG00000027774	Gfm1	2151.3	2192.87	2560.87	3170.36	3220.09	3557.32	3608.33	3651.87
ENSMUSG00000027775	Mfsd1	3568.92	3342.85	4321.56	2593.25	2619.47	2106.57	1853.4	1692.54
ENSMUSG00000027776	Il12a	1.76	14.64	6.99	16.04	19.07	22.48	81.97	73.66
ENSMUSG00000027777	Schip1	1802.52	2905.67	2576.84	3353.65	3372.95	3584.55	3961.94	3493.1
ENSMUSG00000027778	Ift80	3808.11	4412.39	4062.29	3742.77	3891.44	4195.54	5100.82	5516.01
ENSMUSG00000027782	Kpna4	4409.68	4945.2	3900.4	4124.71	5587.94	3916.9	5403.35	4563.06
ENSMUSG00000027784	Ppm1l	3728.3	2891.4	2325.96	3387.7	3108.49	2982.64	4659.14	6123.56
ENSMUSG00000027787	Nmd3	978.79	1142.87	1041.44	743.52	953.13	854.97	899.85	823.61
ENSMUSG00000027792	Bche	1679.97	321.87	361.0	497.0	372.03	615.82	417.21	450.34
ENSMUSG00000027793	Ccna1	40.49	31.16	44.55	2.43	6.77	1.19	2.1	2.18
ENSMUSG00000027796	Smad9	120.9	76.79	40.5	66.74	86.99	94.74	256.17	373.98
ENSMUSG00000027797	Dclk1	7072.89	6487.96	4493.47	4003.5	4008.93	4556.68	4299.76	4823.98
ENSMUSG00000027799	Nbea	9403.88	10601.56	10173.5	15065.45	15443.2	15356.06	18390.94	19285.06
ENSMUSG00000027800	Tm4sf1	58.04	10.61	28.81	249.35	194.93	362.42	559.92	693.17
ENSMUSG00000027803	Wwtr1	43.38	62.18	62.73	59.05	104.37	104.13	73.79	58.94
ENSMUSG00000027804	Ppid	271.37	242.44	179.8	82.22	72.87	58.01	60.85	54.39
ENSMUSG00000027805	Pfn2	9958.14	17557.5	20354.11	20397.03	20292.68	18577.52	18876.57	15030.79
ENSMUSG00000027806	Tsc22d2	2757.66	2765.39	2274.56	2362.65	2506.38	2049.86	2022.32	2297.83
ENSMUSG00000027808	Serp1	9460.14	7877.0	9962.83	6889.46	6743.44	6224.15	5087.0	4552.6
ENSMUSG00000027809	Etfdh	179.36	203.96	289.49	177.68	233.88	190.65	192.45	213.95
ENSMUSG00000027810	Eif2a	789.1	809.88	733.43	894.7	688.01	952.08	717.95	624.48
ENSMUSG00000027811	4930579G24Rik	757.35	722.71	780.59	297.94	298.94	330.39	358.8	532.5
ENSMUSG00000027820	Mme	180.19	44.86	56.71	64.57	36.71	74.59	116.38	190.3
ENSMUSG00000027822	Slc33a1	65.99	145.81	59.25	142.27	171.08	214.32	278.09	325.23
ENSMUSG00000027823	Gmps	15755.44	11606.68	13170.16	9393.69	8873.24	8072.57	7938.97	7365.32
ENSMUSG00000027824	Vmn2r1	39.53	49.53	91.16	61.08	61.79	121.96	184.38	444.48
ENSMUSG00000027827	Kcnab1	57.42	36.78	64.7	33.04	43.52	88.79	101.92	113.88
ENSMUSG00000027828	Ssr3	198.04	240.24	300.1	329.21	383.24	372.99	346.29	306.71
ENSMUSG00000027829	Ccnl1	1434.56	1018.07	1877.57	1096.32	1151.63	1034.92	890.55	860.73
ENSMUSG00000027831	Veph1	32.27	23.47	9.8	29.89	17.21	21.31	27.25	65.35
ENSMUSG00000027832	Ptx3	117.1	123.09	115.45	157.08	137.4	168.11	147.22	119.32
ENSMUSG00000027833	Shox2	113.25	29.06	20.17	17.82	11.25	11.83	15.15	7.24
ENSMUSG00000027834	Serpini1	2071.74	3370.45	4003.84	4776.85	4572.96	5875.79	8523.37	8926.41
ENSMUSG00000027835	Pdcd10	2074.57	2159.49	3622.81	2070.6	2038.02	2211.07	1914.19	1696.39
