gene	GENEID	Name	rna_group
Rasl11a	ENSMUSG00000029641	RAS-like, family 11, member A(Rasl11a)	Lost
Sirt2	ENSMUSG00000015149	sirtuin 2(Sirt2)	Lost
Hpcal4	ENSMUSG00000046093	hippocalcin-like 4(Hpcal4)	Lost
Arl6	ENSMUSG00000022722	ADP-ribosylation factor-like 6(Arl6)	Lost
A930033H14Rik	ENSMUSG00000090622	RIKEN cDNA A930033H14 gene(A930033H14Rik)	Lost
Kcnip2	ENSMUSG00000025221	Kv channel-interacting protein 2(Kcnip2)	Lost
Rnaset2a	ENSMUSG00000095687	ribonuclease T2A(Rnaset2a)	Lost
Qpct	ENSMUSG00000024084	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)(Qpct)	Lost
Nr6a1	ENSMUSG00000063972	nuclear receptor subfamily 6, group A, member 1(Nr6a1)	Lost
Pacrg	ENSMUSG00000037196	PARK2 co-regulated(Pacrg)	Lost
Ddx1	ENSMUSG00000037149	DEAD box helicase 1(Ddx1)	Lost
Tmem108	ENSMUSG00000042757	transmembrane protein 108(Tmem108)	Lost
Rraga	ENSMUSG00000070934	Ras-related GTP binding A(Rraga)	Lost
Opn4	ENSMUSG00000021799	opsin 4 (melanopsin)(Opn4)	Lost
Cap2	ENSMUSG00000021373	CAP, adenylate cyclase-associated protein, 2 (yeast)(Cap2)	Lost
Sirpa	ENSMUSG00000037902	signal-regulatory protein alpha(Sirpa)	Lost
Scube3	ENSMUSG00000038677	signal peptide, CUB domain, EGF-like 3(Scube3)	Lost
Myo1g	ENSMUSG00000020437	myosin IG(Myo1g)	Lost
Arhgap31	ENSMUSG00000022799	Rho GTPase activating protein 31(Arhgap31)	Lost
Pcdh15	ENSMUSG00000052613	protocadherin 15(Pcdh15)	Lost
Vps37b	ENSMUSG00000066278	vacuolar protein sorting 37B(Vps37b)	Lost
Crot	ENSMUSG00000003623	carnitine O-octanoyltransferase(Crot)	Lost
Dbp	ENSMUSG00000059824	D site albumin promoter binding protein(Dbp)	Lost
Lhx4	ENSMUSG00000026468	LIM homeobox protein 4(Lhx4)	Lost
Suv39h2	ENSMUSG00000026646	suppressor of variegation 3-9 2(Suv39h2)	Lost
Flcn	ENSMUSG00000032633	folliculin(Flcn)	Lost
Dscaml1	ENSMUSG00000032087	DS cell adhesion molecule like 1(Dscaml1)	Lost
Fam89a	ENSMUSG00000043068	family with sequence similarity 89, member A(Fam89a)	Lost
Fabp12	ENSMUSG00000027530	fatty acid binding protein 12(Fabp12)	Lost
Foxo6	ENSMUSG00000052135	forkhead box O6(Foxo6)	Lost
Heg1	ENSMUSG00000075254	heart development protein with EGF-like domains 1(Heg1)	Lost
Wdr17	ENSMUSG00000039375	WD repeat domain 17(Wdr17)	Lost
Kmt2d	ENSMUSG00000048154	lysine (K)-specific methyltransferase 2D(Kmt2d)	Lost
Fam107b	ENSMUSG00000026655	family with sequence similarity 107, member B(Fam107b)	Lost
Dusp5	ENSMUSG00000034765	dual specificity phosphatase 5(Dusp5)	Lost
Ascl1	ENSMUSG00000020052	achaete-scute family bHLH transcription factor 1(Ascl1)	Lost
